100 4950 100000 672
A0 0 29 42
A1 1 580 979
A2 2 36 424
A3 3 558 767
A4 4 125 183
A5 5 145 350
A6 6 219 519
A7 7 491 589
A8 8 176 318
A9 9 396 811
B0 10 12 256
B1 11 153 1225
B2 12 76 293
B3 13 11 15
B4 14 455 973
B5 15 14 92
B6 16 14 43
B7 17 265 531
B8 18 194 227
B9 19 534 968
C0 20 411 585
C1 21 351 526
C2 22 125 267
C3 23 277 413
C4 24 118 135
C5 25 38 107
C6 26 83 527
C7 27 619 1292
C8 28 81 690
C9 29 58 750
D0 30 109 266
D1 31 402 767
D2 32 50 289
D3 33 302 1007
D4 34 331 519
D5 35 460 667
D6 36 249 1162
D7 37 17 269
D8 38 243 278
D9 39 44 292
E0 40 383 884
E1 41 514 1322
E2 42 4 11
E3 43 176 950
E4 44 292 542
E5 45 39 877
E6 46 298 525
E7 47 62 182
E8 48 42 51
E9 49 8 167
F0 50 155 817
F1 51 377 623
F2 52 570 1281
F3 53 542 588
F4 54 66 877
F5 55 665 1005
F6 56 77 145
F7 57 69 915
F8 58 453 1337
F9 59 672 1081
G0 60 330 1224
G1 61 636 1128
G2 62 287 932
G3 63 454 893
G4 64 7 15
G5 65 8 571
G6 66 124 874
G7 67 545 577
G8 68 24 311
G9 69 519 601
H0 70 47 729
H1 71 303 974
H2 72 12 217
H3 73 64 74
H4 74 108 120
H5 75 466 1067
H6 76 70 727
H7 77 104 346
H8 78 191 901
H9 79 6 17
I0 80 3 4
I1 81 377 845
I2 82 108 125
I3 83 441 816
I4 84 590 925
I5 85 596 919
I6 86 0 2
I7 87 241 580
I8 88 439 569
I9 89 4 923
J0 90 22 248
J1 91 1 54
J2 92 578 978
J3 93 80 206
J4 94 467 721
J5 95 493 1051
J6 96 56 547
J7 97 15 401
J8 98 137 921
J9 99 28 51
A0 A1 951
A0 A2 396
A0 A3 739
A0 A4 155
A0 A5 322
A0 A6 491
A0 A7 561
A0 A8 290
A0 A9 783
A0 B0 228
A0 B1 1197
A0 B2 265
A0 B3 32
A0 B4 945
A0 B5 64
A0 B6 29
A0 B7 503
A0 B8 199
A0 B9 940
A0 C0 557
A0 C1 498
A0 C2 239
A0 C3 385
A0 C4 107
A0 C5 79
A0 C6 499
A0 C7 1264
A0 C8 662
A0 C9 722
A0 D0 238
A0 D1 739
A0 D2 261
A0 D3 979
A0 D4 491
A0 D5 639
A0 D6 1134
A0 D7 241
A0 D8 250
A0 D9 264
A0 E0 856
A0 E1 1294
A0 E2 39
A0 E3 922
A0 E4 514
A0 E5 849
A0 E6 497
A0 E7 154
A0 E8 23
A0 E9 139
A0 F0 789
A0 F1 595
A0 F2 1253
A0 F3 560
A0 F4 849
A0 F5 977
A0 F6 117
A0 F7 887
A0 F8 1309
A0 F9 1053
A0 G0 1196
A0 G1 1100
A0 G2 904
A0 G3 865
A0 G4 36
A0 G5 543
A0 G6 846
A0 G7 549
A0 G8 283
A0 G9 573
A0 H0 701
A0 H1 946
A0 H2 189
A0 H3 46
A0 H4 92
A0 H5 1039
A0 H6 699
A0 H7 318
A0 H8 873
A0 H9 37
A0 I0 40
A0 I1 817
A0 I2 97
A0 I3 788
A0 I4 897
A0 I5 891
A0 I6 43
A0 I7 552
A0 I8 541
A0 I9 895
A0 J0 220
A0 J1 42
A0 J2 950
A0 J3 178
A0 J4 693
A0 J5 1023
A0 J6 519
A0 J7 373
A0 J8 893
A0 J9 23
A1 A2 944
A1 A3 422
A1 A4 855
A1 A5 835
A1 A6 761
A1 A7 489
A1 A8 804
A1 A9 584
A1 B0 968
A1 B1 827
A1 B2 904
A1 B3 969
A1 B4 525
A1 B5 966
A1 B6 966
A1 B7 715
A1 B8 786
A1 B9 446
A1 C0 569
A1 C1 629
A1 C2 855
A1 C3 703
A1 C4 862
A1 C5 942
A1 C6 897
A1 C7 713
A1 C8 899
A1 C9 922
A1 D0 871
A1 D1 578
A1 D2 930
A1 D3 678
A1 D4 649
A1 D5 520
A1 D6 731
A1 D7 963
A1 D8 737
A1 D9 936
A1 E0 597
A1 E1 743
A1 E2 976
A1 E3 804
A1 E4 688
A1 E5 941
A1 E6 682
A1 E7 918
A1 E8 938
A1 E9 972
A1 F0 825
A1 F1 603
A1 F2 702
A1 F3 438
A1 F4 914
A1 F5 426
A1 F6 903
A1 F7 911
A1 F8 758
A1 F9 502
A1 G0 650
A1 G1 549
A1 G2 693
A1 G3 526
A1 G4 973
A1 G5 972
A1 G6 856
A1 G7 435
A1 G8 956
A1 G9 461
A1 H0 933
A1 H1 677
A1 H2 968
A1 H3 916
A1 H4 872
A1 H5 514
A1 H6 910
A1 H7 876
A1 H8 789
A1 H9 974
A1 I0 977
A1 I1 603
A1 I2 872
A1 I3 539
A1 I4 390
A1 I5 384
A1 I6 980
A1 I7 739
A1 I8 541
A1 I9 976
A1 J0 958
A1 J1 979
A1 J2 402
A1 J3 900
A1 J4 513
A1 J5 487
A1 J6 924
A1 J7 965
A1 J8 843
A1 J9 952
A2 A3 732
A2 A4 300
A2 A5 315
A2 A6 484
A2 A7 554
A2 A8 283
A2 A9 776
A2 B0 413
A2 B1 1190
A2 B2 349
A2 B3 414
A2 B4 938
A2 B5 411
A2 B6 411
A2 B7 496
A2 B8 231
A2 B9 933
A2 C0 550
A2 C1 491
A2 C2 300
A2 C3 378
A2 C4 307
A2 C5 387
A2 C6 492
A2 C7 1257
A2 C8 655
A2 C9 715
A2 D0 316
A2 D1 732
A2 D2 375
A2 D3 972
A2 D4 484
A2 D5 632
A2 D6 1127
A2 D7 408
A2 D8 243
A2 D9 381
A2 E0 849
A2 E1 1287
A2 E2 421
A2 E3 915
A2 E4 507
A2 E5 842
A2 E6 490
A2 E7 363
A2 E8 383
A2 E9 417
